2022-05-14 22:05:849 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:965 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3bab4d31cbe8f8bc0f41112e4203af2c)] -> link text: Log in]
2022-05-14 22:05:994 INFO  LoginPage :42 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3bab4d31cbe8f8bc0f41112e4203af2c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 22:05:606 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:891 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (15e3117b44493e4b4dbe413907525829)] -> link text: Log in]
2022-05-14 22:05:427 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:663 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (809824343f4042e89a44c29c39b1b999)] -> link text: Log in]
2022-05-14 22:05:704 INFO  LoginPage :42 - Getting text from : [[ChromeDriver: chrome on WINDOWS (809824343f4042e89a44c29c39b1b999)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 22:05:317 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:282 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f364c8c8c1f389762635bfc95e837e96)] -> link text: Log in]
2022-05-14 22:05:896 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:840 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9208560ddd9258491a48e2f4b5513b76)] -> link text: Log in]
2022-05-14 22:05:867 INFO  LoginPage :42 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9208560ddd9258491a48e2f4b5513b76)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 22:05:905 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-14 22:05:885 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cf5156ee1e9afd4341b7e5805ac887e5)] -> link text: Log in]
2022-05-14 22:05:914 INFO  LoginPage :42 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cf5156ee1e9afd4341b7e5805ac887e5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 22:05:439 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-14 22:05:429 INFO  HomePage :36 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7fee459a22fbd57cb4a5aebbe156b7f7)] -> link text: Log in]
2022-05-14 22:05:458 INFO  LoginPage :42 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7fee459a22fbd57cb4a5aebbe156b7f7)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 11:05:915 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-15 11:05:99 INFO  HomePage :52 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (cbdb76d8e84e3d7ed91b3a8cbc78c4ce)] -> link text: Log in]<br>
